Calendar,Mandi Modal Price (AgMarknet),WPI_Paddy,MSP_Fixed,USD_INR_Price,Area,Production,Yield
2012-07-26,1044.88,111.0,1080,55.5,5922643.0,13962896.0,2.36
2012-07-27,1051.69,111.0,1080,55.255,5922643.0,13962896.0,2.36
2012-07-28,1018.3,111.0,1080,55.255,5922643.0,13962896.0,2.36
2012-07-29,995.4,111.0,1080,55.255,5922643.0,13962896.0,2.36
2012-07-30,1021.93,111.0,1080,55.44,5922643.0,13962896.0,2.36
2012-07-31,1020.09,111.0,1080,55.56,5922643.0,13962896.0,2.36
2012-08-01,1047.93,114.0,1080,55.475,5922643.0,13962896.0,2.36
2012-08-02,1036.16,114.0,1080,55.845,5922643.0,13962896.0,2.36
2012-08-03,1065.61,114.0,1080,55.755,5922643.0,13962896.0,2.36
2012-08-04,1077.37,114.0,1080,55.755,5922643.0,13962896.0,2.36
2012-08-05,1074.7,114.0,1080,55.755,5922643.0,13962896.0,2.36
2012-08-06,1075.29,114.0,1080,55.525,5922643.0,13962896.0,2.36
2012-08-07,1074.03,114.0,1080,55.07,5922643.0,13962896.0,2.36
2012-08-08,1079.53,114.0,1080,55.285,5922643.0,13962896.0,2.36
2012-08-09,1083.27,114.0,1080,55.18,5922643.0,13962896.0,2.36
2012-08-10,1074.12,114.0,1080,55.285,5922643.0,13962896.0,2.36
2012-08-11,1069.86,114.0,1080,55.285,5922643.0,13962896.0,2.36
2012-08-12,1068.9,114.0,1080,55.285,5922643.0,13962896.0,2.36
2012-08-13,1083.55,114.0,1080,55.345,5922643.0,13962896.0,2.36
2012-08-14,1193.67,114.0,1080,55.61,5922643.0,13962896.0,2.36
2012-08-15,1133.02,114.0,1080,55.53,5922643.0,13962896.0,2.36
2012-08-16,1070.61,114.0,1080,55.625,5922643.0,13962896.0,2.36
2012-08-17,1080.58,114.0,1080,55.735,5922643.0,13962896.0,2.36
2012-08-18,1120.05,114.0,1080,55.735,5922643.0,13962896.0,2.36
2012-08-19,1017.45,114.0,1080,55.735,5922643.0,13962896.0,2.36
2012-08-20,1109.64,114.0,1080,55.505,5922643.0,13962896.0,2.36
2012-08-21,1092.64,114.0,1080,55.31,5922643.0,13962896.0,2.36
2012-08-22,1075.91,114.0,1080,55.5,5922643.0,13962896.0,2.36
2012-08-23,1029.93,114.0,1080,55.265,5922643.0,13962896.0,2.36
2012-08-24,1075.0,114.0,1080,55.505,5922643.0,13962896.0,2.36
2012-08-25,1068.44,114.0,1080,55.505,5922643.0,13962896.0,2.36
2012-08-26,1036.19,114.0,1080,55.505,5922643.0,13962896.0,2.36
2012-08-27,1057.1,114.0,1080,55.695,5922643.0,13962896.0,2.36
2012-08-28,1151.73,114.0,1080,55.665,5922643.0,13962896.0,2.36
2012-08-29,1054.97,114.0,1080,55.705,5922643.0,13962896.0,2.36
2012-08-30,1071.53,114.0,1080,55.635,5922643.0,13962896.0,2.36
2012-08-31,1028.9,114.0,1080,55.525,5922643.0,13962896.0,2.36
2012-09-01,1060.15,116.1,1080,55.525,5922643.0,13962896.0,2.36
2012-09-02,1050.54,116.1,1080,55.525,5922643.0,13962896.0,2.36
2012-09-03,1046.28,116.1,1080,55.535,5922643.0,13962896.0,2.36
2012-09-04,1035.48,116.1,1080,55.615,5922643.0,13962896.0,2.36
2012-09-05,1043.13,116.1,1080,55.91,5922643.0,13962896.0,2.36
2012-09-06,1046.83,116.1,1080,55.665,5922643.0,13962896.0,2.36
2012-09-07,1040.01,116.1,1080,55.365,5922643.0,13962896.0,2.36
2012-09-08,1049.63,116.1,1080,55.365,5922643.0,13962896.0,2.36
2012-09-09,1054.01,116.1,1080,55.365,5922643.0,13962896.0,2.36
2012-09-10,1041.25,116.1,1080,55.445,5922643.0,13962896.0,2.36
2012-09-11,1049.56,116.1,1080,55.255,5922643.0,13962896.0,2.36
2012-09-12,1051.36,116.1,1080,55.215,5922643.0,13962896.0,2.36
2012-09-13,1036.45,116.1,1080,55.345,5922643.0,13962896.0,2.36
2012-09-14,1051.37,116.1,1080,54.305,5922643.0,13962896.0,2.36
2012-09-15,1046.02,116.1,1080,54.305,5922643.0,13962896.0,2.36
2012-09-16,1049.71,116.1,1080,54.305,5922643.0,13962896.0,2.36
2012-09-17,1044.64,116.1,1080,53.885,5922643.0,13962896.0,2.36
2012-09-18,1043.41,116.1,1080,53.905,5922643.0,13962896.0,2.36
2012-09-19,1045.19,116.1,1080,54.025,5922643.0,13962896.0,2.36
2012-09-20,1045.76,116.1,1080,54.265,5922643.0,13962896.0,2.36
2012-09-21,1055.71,116.1,1080,53.365,5922643.0,13962896.0,2.36
2012-09-22,1045.98,116.1,1080,53.365,5922643.0,13962896.0,2.36
2012-09-23,1050.86,116.1,1080,53.365,5922643.0,13962896.0,2.36
2012-09-24,1048.1,116.1,1080,53.44,5922643.0,13962896.0,2.36
2012-09-25,1039.21,116.1,1080,53.365,5922643.0,13962896.0,2.36
2012-09-26,1048.39,116.1,1080,53.585,5922643.0,13962896.0,2.36
2012-09-27,1046.02,116.1,1080,52.93,5922643.0,13962896.0,2.36
2012-09-28,1041.51,116.1,1080,52.855,5922643.0,13962896.0,2.36
2012-09-29,1069.83,116.1,1080,52.855,5922643.0,13962896.0,2.36
2012-09-30,1045.98,116.1,1080,52.855,5922643.0,13962896.0,2.36
2012-10-01,1120.2,116.6,1250,52.38,5837298.0,14353736.0,2.46
2012-10-02,1128.93,116.6,1250,52.43,5837298.0,14353736.0,2.46
2012-10-03,1106.85,116.6,1250,52.24,5837298.0,14353736.0,2.46
2012-10-04,1167.93,116.6,1250,51.745,5837298.0,14353736.0,2.46
2012-10-05,1201.39,116.6,1250,51.915,5837298.0,14353736.0,2.46
2012-10-06,1168.89,116.6,1250,51.915,5837298.0,14353736.0,2.46
2012-10-07,1195.8,116.6,1250,51.915,5837298.0,14353736.0,2.46
2012-10-08,1115.34,116.6,1250,52.545,5837298.0,14353736.0,2.46
2012-10-09,1091.13,116.6,1250,52.695,5837298.0,14353736.0,2.46
2012-10-10,1124.26,116.6,1250,53.025,5837298.0,14353736.0,2.46
2012-10-11,1218.95,116.6,1250,52.665,5837298.0,14353736.0,2.46
2012-10-12,1208.86,116.6,1250,52.81,5837298.0,14353736.0,2.46
2012-10-13,1116.23,116.6,1250,52.81,5837298.0,14353736.0,2.46
