"State","Crop","Calendar","Mandi Arrival Quantity (AgMarknet) (AgMarknet)","Mandi Modal Price (AgMarknet)"
"Uttar Pradesh","Paddy","25 Apr 2011","6865.00","1020.03"
"Uttar Pradesh","Paddy","26 Apr 2011","2587.00","1060.34"
"Uttar Pradesh","Paddy","27 Apr 2011","7326.10","1005.39"
"Uttar Pradesh","Paddy","28 Apr 2011","2059.00","1036.98"
"Uttar Pradesh","Paddy","29 Apr 2011","3778.20","1182.11"
"Uttar Pradesh","Paddy","30 Apr 2011","5042.70","1108.84"
"Uttar Pradesh","Paddy","01 May 2011","2394.20","1167.02"
"Uttar Pradesh","Paddy","02 May 2011","2407.60","1009.14"
"Uttar Pradesh","Paddy","03 May 2011","11050.40","1014.12"
"Uttar Pradesh","Paddy","04 May 2011","1948.20","1040.17"
"Uttar Pradesh","Paddy","05 May 2011","2953.50","1017.28"
"Uttar Pradesh","Paddy","06 May 2011","1111.80","1038.06"
"Uttar Pradesh","Paddy","07 May 2011","2241.00","1062.32"
"Uttar Pradesh","Paddy","08 May 2011","1145.20","1005.79"
"Uttar Pradesh","Paddy","09 May 2011","2590.00","1012.60"
"Uttar Pradesh","Paddy","10 May 2011","1780.00","1008.06"
"Uttar Pradesh","Paddy","11 May 2011","1577.10","1016.63"
"Uttar Pradesh","Paddy","12 May 2011","494.10","1034.80"
"Uttar Pradesh","Paddy","13 May 2011","1671.30","998.74"
"Uttar Pradesh","Paddy","14 May 2011","8661.90","1000.03"
"Uttar Pradesh","Paddy","15 May 2011","1044.10","1009.04"
"Uttar Pradesh","Paddy","16 May 2011","1809.00","994.49"
"Uttar Pradesh","Paddy","17 May 2011","981.60","996.99"
"Uttar Pradesh","Paddy","18 May 2011","371.60","995.41"
"Uttar Pradesh","Paddy","19 May 2011","1099.50","1007.22"
"Uttar Pradesh","Paddy","20 May 2011","2059.60","1004.15"
"Uttar Pradesh","Paddy","21 May 2011","1976.20","1001.36"
"Uttar Pradesh","Paddy","22 May 2011","265.00","1461.21"
"Uttar Pradesh","Paddy","23 May 2011","1086.80","1017.22"
"Uttar Pradesh","Paddy","24 May 2011","944.50","1003.99"
"Uttar Pradesh","Paddy","25 May 2011","993.10","997.55"
"Uttar Pradesh","Paddy","26 May 2011","966.40","1008.04"
"Uttar Pradesh","Paddy","27 May 2011","1597.90","1008.74"
"Uttar Pradesh","Paddy","28 May 2011","2047.90","991.66"
"Uttar Pradesh","Paddy","29 May 2011","100.30","1065.32"
"Uttar Pradesh","Paddy","30 May 2011","1411.60","989.77"
"Uttar Pradesh","Paddy","31 May 2011","1365.00","1139.87"
"Uttar Pradesh","Paddy","01 Jun 2011","1175.00","1014.99"
"Uttar Pradesh","Paddy","02 Jun 2011","1469.40","1009.89"
"Uttar Pradesh","Paddy","03 Jun 2011","1268.20","1011.38"
"Uttar Pradesh","Paddy","04 Jun 2011","3264.20","1013.24"
"Uttar Pradesh","Paddy","05 Jun 2011","63.00","995.06"
"Uttar Pradesh","Paddy","06 Jun 2011","1406.70","1020.44"
"Uttar Pradesh","Paddy","07 Jun 2011","1607.20","1005.75"
"Uttar Pradesh","Paddy","08 Jun 2011","1711.70","1016.25"
"Uttar Pradesh","Paddy","09 Jun 2011","1172.40","1018.89"
"Uttar Pradesh","Paddy","10 Jun 2011","1212.70","1024.43"
"Uttar Pradesh","Paddy","11 Jun 2011","1025.50","1022.92"
"Uttar Pradesh","Paddy","12 Jun 2011","87.40","996.53"
"Uttar Pradesh","Paddy","13 Jun 2011","899.40","1021.48"
"Uttar Pradesh","Paddy","14 Jun 2011","1290.40","1016.78"
"Uttar Pradesh","Paddy","15 Jun 2011","1096.00","1009.97"
"Uttar Pradesh","Paddy","16 Jun 2011","1216.60","1013.18"
"Uttar Pradesh","Paddy","17 Jun 2011","1151.40","1016.58"
"Uttar Pradesh","Paddy","18 Jun 2011","1121.80","1012.73"
"Uttar Pradesh","Paddy","19 Jun 2011","70.40","1003.65"
"Uttar Pradesh","Paddy","20 Jun 2011","1611.20","1011.13"
"Uttar Pradesh","Paddy","21 Jun 2011","817.90","1007.03"
"Uttar Pradesh","Paddy","22 Jun 2011","836.70","1008.28"
"Uttar Pradesh","Paddy","23 Jun 2011","1071.30","1006.98"
"Uttar Pradesh","Paddy","24 Jun 2011","1120.50","1006.90"
"Uttar Pradesh","Paddy","25 Jun 2011","1133.30","1001.94"
"Uttar Pradesh","Paddy","26 Jun 2011","1016.00","1025.66"
"Uttar Pradesh","Paddy","27 Jun 2011","923.00","1009.01"
"Uttar Pradesh","Paddy","28 Jun 2011","1048.20","996.06"
"Uttar Pradesh","Paddy","29 Jun 2011","794.20","1006.28"
"Uttar Pradesh","Paddy","30 Jun 2011","909.50","1070.07"
"Uttar Pradesh","Paddy","01 Jul 2011","2433.30","996.39"
"Uttar Pradesh","Paddy","02 Jul 2011","1086.10","979.28"
"Uttar Pradesh","Paddy","03 Jul 2011","427.50","1056.38"
"Uttar Pradesh","Paddy","04 Jul 2011","2296.50","940.54"
"Uttar Pradesh","Paddy","05 Jul 2011","2692.20","901.03"
"Uttar Pradesh","Paddy","06 Jul 2011","2791.60","931.42"
"Uttar Pradesh","Paddy","07 Jul 2011","2160.00","939.43"
"Uttar Pradesh","Paddy","08 Jul 2011","2746.70","936.12"
"Uttar Pradesh","Paddy","09 Jul 2011","2192.70","931.58"
"Uttar Pradesh","Paddy","10 Jul 2011","388.60","1043.33"
"Uttar Pradesh","Paddy","11 Jul 2011","2553.50","917.12"
"Uttar Pradesh","Paddy","12 Jul 2011","2713.40","977.38"
"Uttar Pradesh","Paddy","13 Jul 2011","2654.10","941.57"
"Uttar Pradesh","Paddy","14 Jul 2011","2798.40","940.15"
"Uttar Pradesh","Paddy","15 Jul 2011","1639.80","904.97"
"Uttar Pradesh","Paddy","16 Jul 2011","1437.40","909.50"
"Uttar Pradesh","Paddy","17 Jul 2011","671.30","953.27"
"Uttar Pradesh","Paddy","18 Jul 2011","1269.30","958.05"
"Uttar Pradesh","Paddy","19 Jul 2011","1092.80","968.65"
"Uttar Pradesh","Paddy","20 Jul 2011","1346.30","944.55"
"Uttar Pradesh","Paddy","21 Jul 2011","1974.30","938.65"
"Uttar Pradesh","Paddy","22 Jul 2011","1806.20","945.19"
"Uttar Pradesh","Paddy","23 Jul 2011","1144.40","945.82"
"Uttar Pradesh","Paddy","24 Jul 2011","273.40","1072.00"
"Uttar Pradesh","Paddy","25 Jul 2011","2212.40","888.59"
"Uttar Pradesh","Paddy","26 Jul 2011","1088.00","885.95"
"Uttar Pradesh","Paddy","27 Jul 2011","782.20","933.25"
"Uttar Pradesh","Paddy","28 Jul 2011","961.60","945.68"
"Uttar Pradesh","Paddy","29 Jul 2011","1006.90","954.98"
"Uttar Pradesh","Paddy","30 Jul 2011","446.00","967.32"
"Uttar Pradesh","Paddy","31 Jul 2011","165.30","1043.37"
"Uttar Pradesh","Paddy","01 Aug 2011","826.20","874.06"
"Uttar Pradesh","Paddy","02 Aug 2011","1081.70","994.08"
"Uttar Pradesh","Paddy","03 Aug 2011","510.70","971.12"
"Uttar Pradesh","Paddy","04 Aug 2011","688.00","1013.27"
"Uttar Pradesh","Paddy","05 Aug 2011","237.70","914.44"
"Uttar Pradesh","Paddy","06 Aug 2011","497.00","969.14"
"Uttar Pradesh","Paddy","07 Aug 2011","243.20","1012.12"
"Uttar Pradesh","Paddy","08 Aug 2011","1341.30","988.96"
"Uttar Pradesh","Paddy","09 Aug 2011","680.90","970.08"
"Uttar Pradesh","Paddy","10 Aug 2011","2703.90","949.54"
"Uttar Pradesh","Paddy","11 Aug 2011","1188.00","908.41"
"Uttar Pradesh","Paddy","12 Aug 2011","1525.60","889.51"
"Uttar Pradesh","Paddy","13 Aug 2011","763.20","1017.81"
"Uttar Pradesh","Paddy","14 Aug 2011","300.70","1034.94"
"Uttar Pradesh","Paddy","15 Aug 2011","549.00","1024.69"
"Uttar Pradesh","Paddy","16 Aug 2011","979.10","969.75"
"Uttar Pradesh","Paddy","17 Aug 2011","668.10","1013.11"
"Uttar Pradesh","Paddy","18 Aug 2011","774.40","1013.29"
"Uttar Pradesh","Paddy","19 Aug 2011","1042.60","989.84"
"Uttar Pradesh","Paddy","20 Aug 2011","805.00","994.65"
"Uttar Pradesh","Paddy","21 Aug 2011","67.80","1026.19"
"Uttar Pradesh","Paddy","22 Aug 2011","763.80","1029.34"
"Uttar Pradesh","Paddy","23 Aug 2011","720.70","1017.67"
"Uttar Pradesh","Paddy","24 Aug 2011","689.80","1038.18"
"Uttar Pradesh","Paddy","25 Aug 2011","1344.20","1030.28"
"Uttar Pradesh","Paddy","26 Aug 2011","955.00","998.29"
"Uttar Pradesh","Paddy","27 Aug 2011","1157.70","1005.94"
"Uttar Pradesh","Paddy","28 Aug 2011","399.80","1051.05"
"Uttar Pradesh","Paddy","29 Aug 2011","1240.90","1001.35"
"Uttar Pradesh","Paddy","30 Aug 2011","804.80","1001.49"
"Uttar Pradesh","Paddy","31 Aug 2011","413.70","1031.27"
"Uttar Pradesh","Paddy","01 Sep 2011","650.70","1012.23"
"Uttar Pradesh","Paddy","02 Sep 2011","1075.30","1036.92"
"Uttar Pradesh","Paddy","03 Sep 2011","975.30","1067.39"
"Uttar Pradesh","Paddy","04 Sep 2011","555.10","1042.12"
"Uttar Pradesh","Paddy","05 Sep 2011","1678.80","1023.44"
"Uttar Pradesh","Paddy","06 Sep 2011","982.40","1022.70"
"Uttar Pradesh","Paddy","07 Sep 2011","1228.70","1019.56"
"Uttar Pradesh","Paddy","08 Sep 2011","861.30","1016.59"
"Uttar Pradesh","Paddy","09 Sep 2011","1454.60","986.22"
"Uttar Pradesh","Paddy","10 Sep 2011","643.50","1010.54"
"Uttar Pradesh","Paddy","11 Sep 2011","375.70","1046.12"
"Uttar Pradesh","Paddy","12 Sep 2011","727.20","1020.74"
"Uttar Pradesh","Paddy","13 Sep 2011","1002.20","1021.58"
"Uttar Pradesh","Paddy","14 Sep 2011","1104.80","1022.82"
"Uttar Pradesh","Paddy","15 Sep 2011","500.90","973.49"
"Uttar Pradesh","Paddy","16 Sep 2011","2113.40","939.31"
"Uttar Pradesh","Paddy","17 Sep 2011","560.00","977.01"
"Uttar Pradesh","Paddy","18 Sep 2011","115.70","971.63"
"Uttar Pradesh","Paddy","19 Sep 2011","953.60","968.29"
"Uttar Pradesh","Paddy","20 Sep 2011","1059.80","974.70"
"Uttar Pradesh","Paddy","21 Sep 2011","1165.30","992.73"
"Uttar Pradesh","Paddy","22 Sep 2011","564.30","969.35"
